pl_rade,pl_bmasse,pl_dens,pl_orbsmax,log_pl_rade,log_pl_bmasse,log_pl_dens,log_pl_orbsmax,planet_class,planet_class_name
12.8,1639.99458012,4.3,1.34,1.1072099696478683,3.214842412786804,0.6334684555795865,0.12710479836480765,2,Massive Dense Giants
14.0,214.0,0.429,2.63,1.146128035678238,2.330413773349191,-0.36754270781527576,0.41995574848975786,0,Low-Density Giants
12.9,1525.5763536,3.91,5.9,1.110589710299249,3.1834339485351797,0.5921767573958668,0.7708520116421442,2,Massive Dense Giants
14.2,177.34825111,0.34,1.444,1.1522883443830565,2.2488269101069664,-0.46852108295774486,0.15956719323362029,0,Low-Density Giants
2.84,8358.8871041,2.53,3.634,0.45331834004703764,3.9221484596493505,0.40312052117581787,0.5603849229720155,2,Massive Dense Giants
0.72,0.299,4.4,0.0229,-0.14266750356873156,-0.5243288116755703,0.6434526764861874,-1.640164517660112,1,Small Dense Planets
0.743,0.335,4.49,0.0274,-0.1290111862394247,-0.47495519296315475,0.6522463410033232,-1.562249437179612,1,Small Dense Planets
0.694,0.263,4.32,0.0188,-0.15864052954514513,-0.5800442515102421,0.6354837468149122,-1.7258421507363202,1,Small Dense Planets
0.637,0.193,4.1,0.0381,-0.19586056766464957,-0.7144426909922262,0.6127838567197355,-1.4190750243243806,1,Small Dense Planets
1.82,3.95,3.6,0.0185,0.2600713879850748,0.5965970956264602,0.5563025007672873,-1.7328282715969863,1,Small Dense Planets
17.37392009,9375.9380065,9.82,67.0,1.2398978196777242,3.9720147271377555,0.9921114877869497,1.8260748027008264,2,Massive Dense Giants
12.4,3337.1,9.62,2.6,1.0934216851622351,3.5233692209782803,0.983175072037813,0.414973347970818,2,Massive Dense Giants
20.8487041,2479.0615746,1.5,200.0,1.3190790655587028,3.394287313850073,0.17609125905568124,2.3010299956639813,2,Massive Dense Giants
12.3,3994.486,11.8,210.0,1.089905111439398,3.6014609033683485,1.0718820073061255,2.322219294733919,2,Massive Dense Giants
13.0,1144.1822652,2.86,0.17,1.1139433523068367,3.05849521192688,0.456366033129043,-0.769551078621726,0,Low-Density Giants
12.57647635,2383.7130525,6.58,7506.0,1.0995589784614392,3.3772539745512926,0.8182258936139555,3.8754085600770636,2,Massive Dense Giants
24.66,5403.0,1.98,440.0,1.391993072259713,3.732634967539196,0.2966651902615311,2.6434526764861874,2,Massive Dense Giants
12.2,4926.3403085,14.9,2.48,1.0863598306747482,3.692524409329884,1.173186268412274,0.3944516808262163,2,Massive Dense Giants
16.7,327.35,0.38,0.02752,1.2227164711475833,2.5150123452580155,-0.42021640338318983,-1.5603515704365263,0,Low-Density Giants
10.87,874.0,3.7,0.1055,1.0362295440862945,2.941511432634403,0.568201724066995,-0.9767475403662885,0,Low-Density Giants
16.03,740.51,0.99,0.0436,1.2049335223541449,2.869530927699219,-0.004364805402450088,-1.360513510731414,0,Low-Density Giants
16.14,291.438,0.411,0.04016,1.2079035303860517,2.4645461778881823,-0.38615817812393083,-1.396206295863037,0,Low-Density Giants
9.92,415.704,2.34,0.051,0.9965116721541787,2.618784203408235,0.3692158574101428,-1.2924298239020637,0,Low-Density Giants
12.22,2415.4,7.3,0.027,1.0870712059065355,3.3829890619644596,0.8633228601204559,-1.5686362358410126,0,Low-Density Giants
13.11,170.032,0.44,0.0618,1.1176026916900843,2.2305306632346986,-0.3565473235138126,-1.2090115249111841,0,Low-Density Giants
11.43,772.29,2.82,0.0461,1.0580462303952818,2.8877804114110295,0.45024910831936105,-1.3362990746103518,0,Low-Density Giants
